hole_id,axial_x_mm,region,type,p_ramp,signed_flux_m3s,abs_flux_m3s
shaft_prox_000,1.000000000000e+00,prox,shaft,,-3.767957154869e-12,1.886959577264e-11
shaft_prox_001,4.600516000000e+00,prox,shaft,,9.203012209538e-12,1.964003963097e-11
shaft_prox_002,8.201032000000e+00,prox,shaft,,-8.483051371295e-12,1.892813268257e-11
shaft_prox_003,1.180154800000e+01,prox,shaft,,-1.406741187133e-11,2.156321513883e-11
shaft_prox_004,1.540206500000e+01,prox,shaft,,3.201097886184e-12,2.133928600017e-11
shaft_prox_005,1.900258100000e+01,prox,shaft,,-3.346749146128e-12,3.111993636378e-11
shaft_prox_006,2.260309700000e+01,prox,shaft,,-4.242461028241e-12,1.223451795145e-11
shaft_mid_000,2.460309700000e+01,mid,shaft,,-6.566294373172e-12,2.573992714417e-11
shaft_mid_001,1.047046720000e+02,mid,shaft,,9.693765991648e-12,1.285654110987e-11
shaft_mid_002,1.848062470000e+02,mid,shaft,,2.102376295843e-12,9.972823345759e-12
shaft_dist_000,1.868062470000e+02,dist,shaft,,1.244178269913e-12,4.633578432350e-12
shaft_dist_001,2.057417310000e+02,dist,shaft,,-1.255610041174e-11,2.794544785317e-11
